ID,Term,Uzbek Meaning,Difficulty,Category,Context
949,digital intelligence,raqamli intellekt,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
950,digital recommendation,raqamli tavsiya,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
951,digital bias,raqamli tarafkashlik,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
952,digital privacy,raqamli maxfiylik,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
953,digital verification,raqamli tekshiruv,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
954,digital content,raqamli kontent,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
955,digital source,raqamli manba,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
956,digital decision,raqamli qaror,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
957,digital model,raqamli model,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
958,algorithmic intelligence,algoritmik intellekt,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
959,algorithmic recommendation,algoritmik tavsiya,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
960,algorithmic bias,algoritmik tarafkashlik,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
961,algorithmic privacy,algoritmik maxfiylik,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
962,algorithmic verification,algoritmik tekshiruv,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
963,algorithmic content,algoritmik kontent,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
964,algorithmic source,algoritmik manba,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
965,algorithmic platform,algoritmik platforma,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
966,algorithmic decision,algoritmik qaror,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
967,algorithmic model,algoritmik model,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
968,automated intelligence,avtomatlashtirilgan intellekt,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
969,automated recommendation,avtomatlashtirilgan tavsiya,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
970,automated bias,avtomatlashtirilgan tarafkashlik,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
971,automated privacy,avtomatlashtirilgan maxfiylik,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
972,automated verification,avtomatlashtirilgan tekshiruv,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
973,automated content,avtomatlashtirilgan kontent,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
974,automated source,avtomatlashtirilgan manba,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
975,automated decision,avtomatlashtirilgan qaror,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
976,automated model,avtomatlashtirilgan model,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
977,reliable intelligence,ishonchli intellekt,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
978,reliable recommendation,ishonchli tavsiya,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
979,reliable bias,ishonchli tarafkashlik,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
980,reliable privacy,ishonchli maxfiylik,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
981,reliable verification,ishonchli tekshiruv,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
982,reliable content,ishonchli kontent,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
983,reliable source,ishonchli manba,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
984,reliable platform,ishonchli platforma,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
985,reliable decision,ishonchli qaror,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
986,reliable model,ishonchli model,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
987,misleading intelligence,chalg‘ituvchi intellekt,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
988,misleading recommendation,chalg‘ituvchi tavsiya,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
989,misleading bias,chalg‘ituvchi tarafkashlik,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
990,misleading privacy,chalg‘ituvchi maxfiylik,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
991,misleading verification,chalg‘ituvchi tekshiruv,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
992,misleading content,chalg‘ituvchi kontent,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
993,misleading source,chalg‘ituvchi manba,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
994,misleading platform,chalg‘ituvchi platforma,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
995,misleading decision,chalg‘ituvchi qaror,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
996,misleading model,chalg‘ituvchi model,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
997,public intelligence,jamoat intellekt,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
998,public recommendation,jamoat tavsiya,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
999,public bias,jamoat tarafkashlik,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
1000,public privacy,jamoat maxfiylik,High,AI & Media,The lesson uses the vocabulary item ___ in a ai & media context.
